id,estado,area_calc,sam_score,error_pct,segundos
1,OK,42.739006066773236,0.95942426,9.989916898318684,10.2
2,OK,33.21403715659292,0.96622723,0.011649598392124386,3.4
3,OK,39.633353659672245,0.9657208,7.5532863130987185,3.5
4,OK,44.010993330579964,0.96902955,13.634682956695421,3.4
5,OK,51.28069206212823,0.89542735,1.8442366740983005,2.8
6,OK,31.208421919367574,0.88831353,6.459546882523213,3.0
7,AREA_MUY_CHICA,25.520041301489403,0.93704283,15.776331060931224,4.4
8,AREA_MUY_CHICA,24.16637204624706,0.9356181,20.094319004397896,3.5
9,OK,49.85771269973605,0.98912,4.055634132745127,3.4
10,AREA_MUY_CHICA,26.96862171426618,0.9678173,1.680308976925152,3.6
11,OK,47.82765954365649,0.9031203,3.991067001380108,2.4
12,OK,63.29301826053649,0.9521899,4.366662530044894,4.2
13,OK,66.3209023288945,0.96013653,7.255344486919453,4.6
14,OK,66.88649736978455,0.9695144,3.8242647256852127,3.5
15,OK,38.823580469858555,0.9651384,1.8402757634859581,3.6
16,OK,46.70547874155051,0.88991135,6.64141845159408,3.0
17,OK,35.53219878414782,0.92409676,22.4815244759772,3.6
18,OK,117.37073592023108,0.94928813,3.668442807299452,3.9
19,OK,95.281358123931,1.0036614,1.0435225501852645,3.7
20,OK,96.18536580487574,0.95984536,2.4958462862591886,3.2
21,OK,59.909198626103915,0.9834845,35.505780809947254,3.3
22,OK,93.16228976470956,0.9878633,6.140462811802944,4.7
23,OK,73.22760147940167,0.947754,23.254832030203737,4.7
24,OK,154.8813787849359,0.95242876,8.94651965408591,3.3
25,OK,76.87975361762669,0.98895216,1.1125139983574945,3.5
26,OK,69.16793677448183,0.96785533,9.49049594462165,3.3
27,OK,89.2266942905502,0.98435605,3.7761456920531873,3.8
28,OK,44.62561917230225,0.89750695,12.425026451218312,3.9
29,OK,63.81584421857668,0.9924122,2.9030083379826586,3.4
30,OK,38.5898965435479,0.94702774,0.4180713455202024,3.5
31,OK,157.78360734915046,0.89778167,35.90299425338536,3.2
32,AREA_MUY_CHICA,29.46504872503284,0.950511,24.5849696897087,4.2
33,OK,33.547821951904545,0.97104424,12.484666649751913,9.4
34,OK,77.45283227096895,0.9979049,2.1930238786506075,3.6
35,OK,52.41713231168303,0.9534347,5.173976452307789,3.2
36,OK,34.31232267376215,0.9604297,21.12272784066245,7.6
37,OK,40.75564611093909,0.98493373,2.464167393354226,8.8
38,OK,63.029037147550845,0.9667779,1.4547348600119858,5.3
39,OK,40.72369864472495,0.9870491,4.433686589542436,5.4
40,OK,37.8628424351831,0.981618,3.886503520727383,4.4
41,OK,60.542199663164595,0.9142648,22.8223421647167,3.4
42,FUGA_CRÍTICA,184.77,0.83194655,86.92143906907926,2.3
43,OK,56.42298754841562,0.90686435,11.491604181100291,2.9
44,OK,45.62762410119637,0.9654703,49.68706700905921,3.2
45,OK,50.21224171522278,0.94786876,1.8657360528182423,7.2
46,OK,37.13385074160632,0.98005986,15.373021416395218,7.5
47,AREA_MUY_CHICA,18.809557773502146,0.94206506,56.450324237367,8.8
48,OK,65.13511098901577,0.956146,17.86927082476084,3.6
49,OK,35.742135190494075,0.9947151,0.9667770066553699,7.6
50,OK,62.25072256242444,0.9668749,2.543230198425089,4.3
51,OK,66.67219384367885,0.98597914,7.700760166717938,3.4
52,OK,71.21001474956623,0.9798063,5.284205251776206,3.3
53,OK,59.98539355062479,0.98653513,1.0482597515895884,6.1
54,OK,34.87317964805107,0.9795885,18.720237526725285,3.9
55,OK,39.66554943226282,0.9916575,6.9506784064568965,3.0
56,OK,38.03545829358113,0.9852585,5.278132340198382,5.1
57,OK,40.67884918208484,0.98802596,2.9359527903049414,3.7
58,OK,54.25804628889141,0.98000205,1.1285777720976478,3.6
59,OK,50.63326135756546,0.9916691,4.486861358485422,6.8
60,FUGA_CRÍTICA,79.49,0.8593235,57.586631828670576,2.4
61,OK,54.962950646661746,0.8972632,3.1758308939351005,3.0
62,OK,37.208174870055736,0.88172877,9.918648370918216,2.7
63,FUGA_CRÍTICA,77.48,0.8651917,60.34177968288319,2.9
64,OK,31.43928663819877,0.973089,29.634512199493635,7.2
65,OK,44.325914395144764,0.9804038,10.799921553335471,4.9
66,OK,86.96512329659218,0.9873009,5.394775529227081,4.1
67,OK,77.09798263613078,0.963332,3.150815124014581,3.3
68,OK,37.78441144524206,0.9862538,14.039245397465796,8.2
69,AREA_MUY_CHICA,27.32409468039363,0.9770857,20.535623572233185,3.4
70,FUGA_CRÍTICA,128.38,0.752137,401.2447731351082,3.1
71,FUGA_CRÍTICA,140.63,0.7610273,358.4344114384468,2.3
72,AREA_MUY_CHICA,14.315407185114553,0.9786705,54.055900461100734,5.3
73,AREA_MUY_CHICA,22.784706346790575,0.96078634,21.00293230229487,11.6
74,OK,31.278384427834222,0.91456693,36.98360548897716,2.8
75,OK,93.62087639427591,0.9977001,3.3139923968548777,6.1
